species_a	protein_a	species_b	protein_b	n_compared_columns	n_identical	percent_identity
gorilla_gorilla_gorilla	XP_004050253.1	oreochromis_niloticus	ENSONIP00000063320	693	570	82.25
gorilla_gorilla_gorilla	XP_004050253.1	ornithorhynchus_anatinus	XP_028936644.1	723	693	95.85
gorilla_gorilla_gorilla	XP_004050253.1	oryctolagus_cuniculus	XP_069913096.1	723	703	97.23
gorilla_gorilla_gorilla	XP_004050253.1	oryzias_latipes	XP_078787744.1	715	578	80.84
gorilla_gorilla_gorilla	XP_004050253.1	ovis_aries	XP_060260490.1	723	708	97.93
gorilla_gorilla_gorilla	XP_004050253.1	pan_troglodytes	XP_054516514.1	723	722	99.86
gorilla_gorilla_gorilla	XP_004050253.1	pongo_abelii	XP_024108704.1	723	721	99.72
gorilla_gorilla_gorilla	XP_004050253.1	rattus_norvegicus	XP_063137149.1	723	711	98.34
gorilla_gorilla_gorilla	XP_004050253.1	sus_scrofa	XP_084849197.1	723	707	97.79
gorilla_gorilla_gorilla	XP_004050253.1	taeniopygia_guttata	XP_072787409.1	723	685	94.74
gorilla_gorilla_gorilla	XP_004050253.1	takifugu_rubripes	ENSTRUP00000045145	718	586	81.62
gorilla_gorilla_gorilla	XP_004050253.1	xenopus_tropicalis	ENSXETP00000069725	719	579	80.53
homo_sapiens	ENSP00000351276	homo_sapiens	ENSP00000351276	821	821	100.0
homo_sapiens	ENSP00000351276	macaca_mulatta	XP_077803775.1	819	816	99.63
homo_sapiens	ENSP00000351276	meleagris_gallopavo	ENSMGAP00000031571	627	511	81.5
homo_sapiens	ENSP00000351276	monodelphis_domestica	XP_056659242.1	820	778	94.88
homo_sapiens	ENSP00000351276	mus_musculus	ENSMUSP00000112430	821	801	97.56
homo_sapiens	ENSP00000351276	oreochromis_niloticus	ENSONIP00000063320	796	629	79.02
homo_sapiens	ENSP00000351276	ornithorhynchus_anatinus	XP_028936644.1	820	777	94.76
homo_sapiens	ENSP00000351276	oryctolagus_cuniculus	XP_069913096.1	821	796	96.95
homo_sapiens	ENSP00000351276	oryzias_latipes	XP_078787744.1	809	635	78.49
homo_sapiens	ENSP00000351276	ovis_aries	XP_060260490.1	821	797	97.08
homo_sapiens	ENSP00000351276	pan_troglodytes	XP_054516514.1	821	820	99.88
homo_sapiens	ENSP00000351276	pongo_abelii	XP_024108704.1	819	817	99.76
homo_sapiens	ENSP00000351276	rattus_norvegicus	XP_063137149.1	821	798	97.2
homo_sapiens	ENSP00000351276	sus_scrofa	XP_084849197.1	821	799	97.32
homo_sapiens	ENSP00000351276	taeniopygia_guttata	XP_072787409.1	820	760	92.68
homo_sapiens	ENSP00000351276	takifugu_rubripes	ENSTRUP00000045145	812	640	78.82
homo_sapiens	ENSP00000351276	xenopus_tropicalis	ENSXETP00000069725	812	636	78.33
macaca_mulatta	XP_077803775.1	macaca_mulatta	XP_077803775.1	838	838	100.0
macaca_mulatta	XP_077803775.1	meleagris_gallopavo	ENSMGAP00000031571	627	512	81.66
macaca_mulatta	XP_077803775.1	monodelphis_domestica	XP_056659242.1	837	791	94.5
macaca_mulatta	XP_077803775.1	mus_musculus	ENSMUSP00000112430	838	818	97.61
macaca_mulatta	XP_077803775.1	oreochromis_niloticus	ENSONIP00000063320	804	630	78.36
macaca_mulatta	XP_077803775.1	ornithorhynchus_anatinus	XP_028936644.1	837	790	94.38
macaca_mulatta	XP_077803775.1	oryctolagus_cuniculus	XP_069913096.1	838	812	96.9
macaca_mulatta	XP_077803775.1	oryzias_latipes	XP_078787744.1	826	639	77.36
macaca_mulatta	XP_077803775.1	ovis_aries	XP_060260490.1	838	813	97.02
macaca_mulatta	XP_077803775.1	pan_troglodytes	XP_054516514.1	838	836	99.76
macaca_mulatta	XP_077803775.1	pongo_abelii	XP_024108704.1	838	836	99.76
macaca_mulatta	XP_077803775.1	rattus_norvegicus	XP_063137149.1	838	814	97.14
macaca_mulatta	XP_077803775.1	sus_scrofa	XP_084849197.1	838	814	97.14
macaca_mulatta	XP_077803775.1	taeniopygia_guttata	XP_072787409.1	837	772	92.23
macaca_mulatta	XP_077803775.1	takifugu_rubripes	ENSTRUP00000045145	829	646	77.93
macaca_mulatta	XP_077803775.1	xenopus_tropicalis	ENSXETP00000069725	829	642	77.44
meleagris_gallopavo	ENSMGAP00000031571	meleagris_gallopavo	ENSMGAP00000031571	627	627	100.0
meleagris_gallopavo	ENSMGAP00000031571	monodelphis_domestica	XP_056659242.1	627	512	81.66
meleagris_gallopavo	ENSMGAP00000031571	mus_musculus	ENSMUSP00000112430	627	510	81.34
meleagris_gallopavo	ENSMGAP00000031571	oreochromis_niloticus	ENSONIP00000063320	619	444	71.73
meleagris_gallopavo	ENSMGAP00000031571	ornithorhynchus_anatinus	XP_028936644.1	627	504	80.38
meleagris_gallopavo	ENSMGAP00000031571	oryctolagus_cuniculus	XP_069913096.1	627	505	80.54
meleagris_gallopavo	ENSMGAP00000031571	oryzias_latipes	XP_078787744.1	619	435	70.27
meleagris_gallopavo	ENSMGAP00000031571	ovis_aries	XP_060260490.1	627	510	81.34
meleagris_gallopavo	ENSMGAP00000031571	pan_troglodytes	XP_054516514.1	627	512	81.66
meleagris_gallopavo	ENSMGAP00000031571	pongo_abelii	XP_024108704.1	627	512	81.66
meleagris_gallopavo	ENSMGAP00000031571	rattus_norvegicus	XP_063137149.1	627	511	81.5
meleagris_gallopavo	ENSMGAP00000031571	sus_scrofa	XP_084849197.1	627	508	81.02
meleagris_gallopavo	ENSMGAP00000031571	taeniopygia_guttata	XP_072787409.1	627	528	84.21
meleagris_gallopavo	ENSMGAP00000031571	takifugu_rubripes	ENSTRUP00000045145	619	438	70.76
meleagris_gallopavo	ENSMGAP00000031571	xenopus_tropicalis	ENSXETP00000069725	623	437	70.14
monodelphis_domestica	XP_056659242.1	monodelphis_domestica	XP_056659242.1	839	839	100.0
monodelphis_domestica	XP_056659242.1	mus_musculus	ENSMUSP00000112430	839	791	94.28
monodelphis_domestica	XP_056659242.1	oreochromis_niloticus	ENSONIP00000063320	804	631	78.48
monodelphis_domestica	XP_056659242.1	ornithorhynchus_anatinus	XP_028936644.1	839	798	95.11
monodelphis_domestica	XP_056659242.1	oryctolagus_cuniculus	XP_069913096.1	839	781	93.09
monodelphis_domestica	XP_056659242.1	oryzias_latipes	XP_078787744.1	828	645	77.9
monodelphis_domestica	XP_056659242.1	ovis_aries	XP_060260490.1	839	786	93.68
monodelphis_domestica	XP_056659242.1	pan_troglodytes	XP_054516514.1	839	793	94.52
monodelphis_domestica	XP_056659242.1	pongo_abelii	XP_024108704.1	837	790	94.38
monodelphis_domestica	XP_056659242.1	rattus_norvegicus	XP_063137149.1	839	790	94.16
monodelphis_domestica	XP_056659242.1	sus_scrofa	XP_084849197.1	839	784	93.44
monodelphis_domestica	XP_056659242.1	taeniopygia_guttata	XP_072787409.1	839	777	92.61
monodelphis_domestica	XP_056659242.1	takifugu_rubripes	ENSTRUP00000045145	831	650	78.22
monodelphis_domestica	XP_056659242.1	xenopus_tropicalis	ENSXETP00000069725	831	649	78.1
mus_musculus	ENSMUSP00000112430	mus_musculus	ENSMUSP00000112430	840	840	100.0
mus_musculus	ENSMUSP00000112430	oreochromis_niloticus	ENSONIP00000063320	804	632	78.61
mus_musculus	ENSMUSP00000112430	ornithorhynchus_anatinus	XP_028936644.1	839	786	93.68
mus_musculus	ENSMUSP00000112430	oryctolagus_cuniculus	XP_069913096.1	840	805	95.83
mus_musculus	ENSMUSP00000112430	oryzias_latipes	XP_078787744.1	828	644	77.78
mus_musculus	ENSMUSP00000112430	ovis_aries	XP_060260490.1	840	804	95.71
mus_musculus	ENSMUSP00000112430	pan_troglodytes	XP_054516514.1	840	820	97.62
mus_musculus	ENSMUSP00000112430	pongo_abelii	XP_024108704.1	838	817	97.49
mus_musculus	ENSMUSP00000112430	rattus_norvegicus	XP_063137149.1	840	832	99.05
mus_musculus	ENSMUSP00000112430	sus_scrofa	XP_084849197.1	840	807	96.07
mus_musculus	ENSMUSP00000112430	taeniopygia_guttata	XP_072787409.1	839	765	91.18
mus_musculus	ENSMUSP00000112430	takifugu_rubripes	ENSTRUP00000045145	831	651	78.34
mus_musculus	ENSMUSP00000112430	xenopus_tropicalis	ENSXETP00000069725	831	642	77.26
oreochromis_niloticus	ENSONIP00000063320	oreochromis_niloticus	ENSONIP00000063320	812	812	100.0
oreochromis_niloticus	ENSONIP00000063320	ornithorhynchus_anatinus	XP_028936644.1	804	626	77.86
oreochromis_niloticus	ENSONIP00000063320	oryctolagus_cuniculus	XP_069913096.1	804	628	78.11
oreochromis_niloticus	ENSONIP00000063320	oryzias_latipes	XP_078787744.1	804	732	91.04
oreochromis_niloticus	ENSONIP00000063320	ovis_aries	XP_060260490.1	804	626	77.86
oreochromis_niloticus	ENSONIP00000063320	pan_troglodytes	XP_054516514.1	804	630	78.36
oreochromis_niloticus	ENSONIP00000063320	pongo_abelii	XP_024108704.1	804	630	78.36
oreochromis_niloticus	ENSONIP00000063320	rattus_norvegicus	XP_063137149.1	804	630	78.36
oreochromis_niloticus	ENSONIP00000063320	sus_scrofa	XP_084849197.1	804	623	77.49
oreochromis_niloticus	ENSONIP00000063320	taeniopygia_guttata	XP_072787409.1	812	641	78.94
oreochromis_niloticus	ENSONIP00000063320	takifugu_rubripes	ENSTRUP00000045145	804	740	92.04
oreochromis_niloticus	ENSONIP00000063320	xenopus_tropicalis	ENSXETP00000069725	811	599	73.86
ornithorhynchus_anatinus	XP_028936644.1	ornithorhynchus_anatinus	XP_028936644.1	839	839	100.0
ornithorhynchus_anatinus	XP_028936644.1	oryctolagus_cuniculus	XP_069913096.1	839	781	93.09
ornithorhynchus_anatinus	XP_028936644.1	oryzias_latipes	XP_078787744.1	828	642	77.54
ornithorhynchus_anatinus	XP_028936644.1	ovis_aries	XP_060260490.1	839	786	93.68
ornithorhynchus_anatinus	XP_028936644.1	pan_troglodytes	XP_054516514.1	839	792	94.4
ornithorhynchus_anatinus	XP_028936644.1	pongo_abelii	XP_024108704.1	837	789	94.27
ornithorhynchus_anatinus	XP_028936644.1	rattus_norvegicus	XP_063137149.1	839	786	93.68
ornithorhynchus_anatinus	XP_028936644.1	sus_scrofa	XP_084849197.1	839	785	93.56
ornithorhynchus_anatinus	XP_028936644.1	taeniopygia_guttata	XP_072787409.1	839	776	92.49
ornithorhynchus_anatinus	XP_028936644.1	takifugu_rubripes	ENSTRUP00000045145	831	641	77.14
ornithorhynchus_anatinus	XP_028936644.1	xenopus_tropicalis	ENSXETP00000069725	831	649	78.1
oryctolagus_cuniculus	XP_069913096.1	oryctolagus_cuniculus	XP_069913096.1	840	840	100.0
oryctolagus_cuniculus	XP_069913096.1	oryzias_latipes	XP_078787744.1	828	641	77.42
oryctolagus_cuniculus	XP_069913096.1	ovis_aries	XP_060260490.1	840	804	95.71
oryctolagus_cuniculus	XP_069913096.1	pan_troglodytes	XP_054516514.1	840	815	97.02
oryctolagus_cuniculus	XP_069913096.1	pongo_abelii	XP_024108704.1	838	812	96.9
oryctolagus_cuniculus	XP_069913096.1	rattus_norvegicus	XP_063137149.1	840	801	95.36
oryctolagus_cuniculus	XP_069913096.1	sus_scrofa	XP_084849197.1	840	810	96.43
oryctolagus_cuniculus	XP_069913096.1	taeniopygia_guttata	XP_072787409.1	839	765	91.18
oryctolagus_cuniculus	XP_069913096.1	takifugu_rubripes	ENSTRUP00000045145	831	645	77.62
oryctolagus_cuniculus	XP_069913096.1	xenopus_tropicalis	ENSXETP00000069725	831	641	77.14
oryzias_latipes	XP_078787744.1	oryzias_latipes	XP_078787744.1	832	832	100.0
oryzias_latipes	XP_078787744.1	ovis_aries	XP_060260490.1	828	636	76.81
oryzias_latipes	XP_078787744.1	pan_troglodytes	XP_054516514.1	828	641	77.42
oryzias_latipes	XP_078787744.1	pongo_abelii	XP_024108704.1	826	639	77.36
oryzias_latipes	XP_078787744.1	rattus_norvegicus	XP_063137149.1	828	641	77.42
oryzias_latipes	XP_078787744.1	sus_scrofa	XP_084849197.1	828	636	76.81
oryzias_latipes	XP_078787744.1	taeniopygia_guttata	XP_072787409.1	828	646	78.02
oryzias_latipes	XP_078787744.1	takifugu_rubripes	ENSTRUP00000045145	832	755	90.75
oryzias_latipes	XP_078787744.1	xenopus_tropicalis	ENSXETP00000069725	826	603	73.0
ovis_aries	XP_060260490.1	ovis_aries	XP_060260490.1	840	840	100.0
ovis_aries	XP_060260490.1	pan_troglodytes	XP_054516514.1	840	816	97.14
ovis_aries	XP_060260490.1	pongo_abelii	XP_024108704.1	838	813	97.02
ovis_aries	XP_060260490.1	rattus_norvegicus	XP_063137149.1	840	801	95.36
ovis_aries	XP_060260490.1	sus_scrofa	XP_084849197.1	840	821	97.74
ovis_aries	XP_060260490.1	taeniopygia_guttata	XP_072787409.1	839	771	91.9
ovis_aries	XP_060260490.1	takifugu_rubripes	ENSTRUP00000045145	831	644	77.5
ovis_aries	XP_060260490.1	xenopus_tropicalis	ENSXETP00000069725	831	642	77.26
pan_troglodytes	XP_054516514.1	pan_troglodytes	XP_054516514.1	840	840	100.0
pan_troglodytes	XP_054516514.1	pongo_abelii	XP_024108704.1	838	836	99.76
pan_troglodytes	XP_054516514.1	rattus_norvegicus	XP_063137149.1	840	816	97.14
pan_troglodytes	XP_054516514.1	sus_scrofa	XP_084849197.1	840	817	97.26
pan_troglodytes	XP_054516514.1	taeniopygia_guttata	XP_072787409.1	839	774	92.25
pan_troglodytes	XP_054516514.1	takifugu_rubripes	ENSTRUP00000045145	831	648	77.98
pan_troglodytes	XP_054516514.1	xenopus_tropicalis	ENSXETP00000069725	831	644	77.5
pongo_abelii	XP_024108704.1	pongo_abelii	XP_024108704.1	838	838	100.0
pongo_abelii	XP_024108704.1	rattus_norvegicus	XP_063137149.1	838	813	97.02
pongo_abelii	XP_024108704.1	sus_scrofa	XP_084849197.1	838	814	97.14
pongo_abelii	XP_024108704.1	taeniopygia_guttata	XP_072787409.1	837	772	92.23
pongo_abelii	XP_024108704.1	takifugu_rubripes	ENSTRUP00000045145	829	646	77.93
pongo_abelii	XP_024108704.1	xenopus_tropicalis	ENSXETP00000069725	829	642	77.44
rattus_norvegicus	XP_063137149.1	rattus_norvegicus	XP_063137149.1	840	840	100.0
rattus_norvegicus	XP_063137149.1	sus_scrofa	XP_084849197.1	840	804	95.71
rattus_norvegicus	XP_063137149.1	taeniopygia_guttata	XP_072787409.1	839	766	91.3
rattus_norvegicus	XP_063137149.1	takifugu_rubripes	ENSTRUP00000045145	831	648	77.98
rattus_norvegicus	XP_063137149.1	xenopus_tropicalis	ENSXETP00000069725	831	646	77.74
sus_scrofa	XP_084849197.1	sus_scrofa	XP_084849197.1	840	840	100.0
sus_scrofa	XP_084849197.1	taeniopygia_guttata	XP_072787409.1	839	770	91.78
sus_scrofa	XP_084849197.1	takifugu_rubripes	ENSTRUP00000045145	831	641	77.14
sus_scrofa	XP_084849197.1	xenopus_tropicalis	ENSXETP00000069725	831	640	77.02
taeniopygia_guttata	XP_072787409.1	taeniopygia_guttata	XP_072787409.1	890	890	100.0
taeniopygia_guttata	XP_072787409.1	takifugu_rubripes	ENSTRUP00000045145	831	652	78.46
taeniopygia_guttata	XP_072787409.1	xenopus_tropicalis	ENSXETP00000069725	866	653	75.4
takifugu_rubripes	ENSTRUP00000045145	takifugu_rubripes	ENSTRUP00000045145	838	838	100.0
takifugu_rubripes	ENSTRUP00000045145	xenopus_tropicalis	ENSXETP00000069725	826	602	72.88
xenopus_tropicalis	ENSXETP00000069725	xenopus_tropicalis	ENSXETP00000069725	910	910	100.0
