source	species	protein_id	protein_length	predicted_isoform	best_local_alignment_score	second_best_score	score_margin	cassette_start_aa	cassette_end_aa	reference_coverage	IIIb_score	IIIc_score
ncbi	gasterosteus_aculeatus	XP_077960647.1	944	IIIc	224.0	115.5	108.5	445	491	0.9791666666666666	115.5	224.0
ncbi	gasterosteus_aculeatus	XP_077960648.1	944	IIIc	204.0	181.0	23.0	127	172	0.9583333333333334	181.0	204.0
ncbi	gasterosteus_aculeatus	XP_077960649.1	944	IIIc	224.0	182.0	42.0	443	489	0.9791666666666666	182.0	224.0
ncbi	gasterosteus_aculeatus	XP_077960650.1	942	IIIc	204.0	181.0	23.0	127	172	0.9583333333333334	181.0	204.0
ncbi	gasterosteus_aculeatus	XP_077960651.1	944	IIIc	224.0	115.5	108.5	445	491	0.9791666666666666	115.5	224.0
ncbi	gasterosteus_aculeatus	XP_077960652.1	942	IIIb	182.0	119.5	62.5	126	170	0.9782608695652174	182.0	119.5
ncbi	gasterosteus_aculeatus	XP_077960653.1	940	IIIb	182.0	119.5	62.5	126	170	0.9782608695652174	182.0	119.5
ensembl	takifugu_rubripes	ENSTRUP00000045143	813	IIIc	234.0	113.5	120.5	314	360	0.9791666666666666	113.5	234.0
ensembl	takifugu_rubripes	ENSTRUP00000045145	838	IIIc	234.0	113.5	120.5	337	383	0.9791666666666666	113.5	234.0
ensembl	takifugu_rubripes	ENSTRUP00000045146	836	IIIb	188.0	125.5	62.5	337	381	0.9782608695652174	188.0	125.5
ensembl	takifugu_rubripes	ENSTRUP00000045147	752	IIIc	234.0	113.5	120.5	251	297	0.9791666666666666	113.5	234.0
ensembl	takifugu_rubripes	ENSTRUP00000045148	727	IIIc	234.0	113.5	120.5	226	272	0.9791666666666666	113.5	234.0
ensembl	takifugu_rubripes	ENSTRUP00000061271	823	IIIc	234.0	113.5	120.5	324	370	0.9791666666666666	113.5	234.0
ensembl	takifugu_rubripes	ENSTRUP00000067587	804	IIIc	234.0	113.5	120.5	304	350	0.9791666666666666	113.5	234.0
ensembl	takifugu_rubripes	ENSTRUP00000068923	792	IIIc	234.0	113.5	120.5	293	339	0.9791666666666666	113.5	234.0
ensembl	takifugu_rubripes	ENSTRUP00000071754	809	IIIb	155.0	92.5	62.5	314	351	0.8260869565217391	155.0	92.5
ensembl	takifugu_rubripes	ENSTRUP00000082891	791	IIIb	188.0	125.5	62.5	314	358	0.9782608695652174	188.0	125.5
ncbi	takifugu_rubripes	XP_011601188.1	838	IIIc	234.0	113.5	120.5	337	383	0.9791666666666666	113.5	234.0
ncbi	takifugu_rubripes	XP_011601189.1	838	IIIc	234.0	113.5	120.5	337	383	0.9791666666666666	113.5	234.0
ncbi	takifugu_rubripes	XP_011601190.1	836	IIIc	234.0	113.5	120.5	337	383	0.9791666666666666	113.5	234.0
ncbi	takifugu_rubripes	XP_011601191.1	836	IIIb	188.0	125.5	62.5	337	381	0.9782608695652174	188.0	125.5
ncbi	takifugu_rubripes	XP_011601192.1	834	IIIb	188.0	125.5	62.5	337	381	0.9782608695652174	188.0	125.5
ncbi	takifugu_rubripes	XP_011601193.1	823	IIIc	234.0	113.5	120.5	322	368	0.9791666666666666	113.5	234.0
ncbi	takifugu_rubripes	XP_011601194.1	752	IIIc	234.0	113.5	120.5	251	297	0.9791666666666666	113.5	234.0
ncbi	takifugu_rubripes	XP_011601195.1	727	IIIc	234.0	113.5	120.5	226	272	0.9791666666666666	113.5	234.0
